test: short_latency_0
timing: 1632
timing: 1506
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1596
timing: 1506
timing: 1524
timing: 1578
timing: 1524
timing: 1560
timing: 1506
timing: 1542
timing: 1524
timing: 1506
timing: 1524
timing: 1524
timing: 1524
timing: 1578
timing: 1524
timing: 1524
timing: 1560
timing: 1506
timing: 1578
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1542
timing: 1506
timing: 1560
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1614
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1542
timing: 1632
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1506
timing: 1578
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1542
timing: 1542
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1560
timing: 1524
timing: 1506
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1506
timing: 1524
timing: 1596
timing: 1524
timing: 1542
timing: 1524
timing: 1596
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1614
timing: 1524
timing: 1524
timing: 1596
timing: 1506
timing: 1524
timing: 1578
timing: 1524
timing: 1542
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1614
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1614
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1506
timing: 1524
timing: 1578
timing: 1524
timing: 1542
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1578
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1506
timing: 1524
timing: 1524
timing: 1524
timing: 1542
timing: 1560
timing: 1524
timing: 1506
timing: 1578
timing: 1524
timing: 1542
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1506
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1614
timing: 1524
timing: 1524
timing: 1632
timing: 1506
timing: 1524
timing: 1668
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1560
timing: 1506
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1614
timing: 1524
timing: 1542
timing: 1632
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1578
timing: 1506
timing: 1542
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1506
timing: 1524
timing: 1578
timing: 1524
timing: 1524
timing: 1542
timing: 1524
timing: 1560
timing: 1506
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1542
timing: 1524
timing: 1542
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1560
timing: 1524
timing: 1506
timing: 1524
timing: 1524
timing: 1524
timing: 1614
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1506
timing: 1650
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1560
timing: 1506
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1614
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1506
timing: 1524
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1596
timing: 1542
timing: 1524
timing: 1560
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1542
timing: 1596
timing: 1524
timing: 1524
timing: 1632
timing: 1524
timing: 1524
timing: 1650
timing: 1524
timing: 1524
timing: 1596
timing: 1524
timing: 1524
timing: 1560
timing: 1524
timing: 1542
timing: 1524
timing: 1542
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1524
timing: 1614
test: medium_latency_3
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1722
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1686
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1686
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1686
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1596
timing: 1722
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1686
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1686
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1596
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1686
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1686
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1614
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1596
timing: 1578
timing: 1650
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1686
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1632
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1722
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1614
timing: 1578
timing: 1578
timing: 1596
timing: 1596
timing: 1704
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
timing: 1578
test: medium_latency_4
timing: 1704
timing: 1650
timing: 1668
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1668
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1668
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1668
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1668
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1668
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1668
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1668
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1668
timing: 1650
timing: 1650
timing: 1668
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1668
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1668
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1668
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1668
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1650
timing: 1668
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1632
timing: 1650
timing: 1650
timing: 1632
timing: 1632
timing: 1668
timing: 1650
timing: 1650
